Region,State,Abv. 
South,Alabama,AL
West,Alaska,AK
West,Arizona,AZ
South,Arkansas,AR
West,California,CA
West,Colorado,CO
Northeast,Connecticut,CT
South,Delaware,DE
South,Florida,FL
South,Georgia,GA
West,Hawaii,HI
West,Idaho,ID
Midwest,Illinois,IL
Midwest,Indiana,IN
Midwest,Iowa,IA
Midwest,Kansas,KS
South,Kentucky,KY
South,Louisiana,LA
Northeast,Maine,ME
Northeast,Maryland,MD
Northeast,Massachusetts,MA
Midwest,Michigan,MI
Midwest,Minnesota,MN
South,Mississippi,MS
South,Missouri,MO
Midwest,Montana,MT
Midwest,Nebraska,NE
West,Nevada,NV
Northeast,New Hampshire,NH
Northeast,New Jersey,NJ
South,New Mexico,NM
Northeast,New York,NY
South,North Carolina,NC
Midwest,North Dakota,ND
Midwest,Ohio,OH
South,Oklahoma,OK
West,Oregon,OR
Northeast,Pennsylvania,PA
Northeast,Rhode Island,RI
South,South Carolina,SC
Midwest,South Dakota,SD
South,Tennessee,TN
South,Texas,TX
West,Utah,UT
Northeast,Vermont,VT
South,Virginia,VA
West,Washington,WA
South,West Virginia,WV
Midwest,Wisconsin,WI
Midwest,Wyoming,WY