,Full Text,Ease of Use
0,"['nephew fact ', 'waterproof finding black deal']",0
1,"['series amazing ', '', 'health ', 'attention']",0
2,"['gem durability ', 'battery life day hunt']",0
3,"['stopped charging ', 'bummed buy ', 'glad ', 'faster ', 'clear']",0
4,"['super work great ', 'price highly recommend']",0
5,"['excellent ', 'space gray ', 'great leaves access ', 'switch easily']",0
6,['great that'],0
7,"['', 'husb', 'airy wear ', 'working garden lot']",0
8,"['love everyday learn ', '', 'lot money']",0
9,"['item perfect imagine spending ', 'true love love love big game changer']",0
10,"['bought ', 'relative series love ', 'enjoying ', 'learning bought']",0
11,"['sport ', 'bought ', 'fell ', 'broke bought ', 'brand']",0
12,"['forerunner heart rate monit', 'running black excellent convenient heath wellness']",0
13,['great affordable attractive'],0
14,"['love stylish ', '', 'cant heart rate ', 'burning']",0
15,['price though previous generation'],0
16,"['', 'large display menu color']",0
17,"['salesman patient friendly ', 'knowledgeable ', 'love buy']",0
18,"['love easy wear ', 'closure stays tightly closed bought ', 'series ', 'perfectly']",0
19,"['capacity ', 'longer cord ', 'regular charger bit length love']",0
20,"['love col', 'addition ', 'wear ', 'day ', '', 'recharge']",0
21,"['series ', 'match perfectly ', 'face sharp']",0
22,['comfortable ordered miscellaneous but'],0
23,"['charge charge returned charge ', 'uncomfortable wear']",0
24,"['', '', 'broke track sleep didnt ', 'work ', 'keeping track junk']",0
25,"['wont charge phone pro charge series edition ', 'wont work phone disappointed']",0
26,"['charger ', 'doesnt work fit rubber sleeve ', 'charge completely purpose purchase']",0
27,"['love charge ', '', 'connection broke glued plastic piece ', 'tape']",0
28,"['', 'hey android pretty fair purchase product work dont recommend honestly']",0
29,"['received charger worth time return bought ', 'hope kind bummer']",0
30,"['bumper protect ', 'difficulty']",0
31,['nice fit series stay locked loose returned'],0
32,"['bumper ', 'scratch ', 'work perfectly']",0
33,['stuff but'],0
34,"['market ', 'cant stretch great life mate']",0
35,"['hard connect charge phone ', 'though list ', 'compatible days']",0
36,"['faded bad ', '', 'luck']",0
37,"['ended ', 'connect ', '', 'worked great']",0
38,"['nice charge ', '', 'month start lift reseal ', 'eventually start lifting']",0
39,"['idea ', 'convenient house worry phone room room']",0
40,"['love smart display ', 'battery bit longer coming lite']",0
41,"['love accurate shower personally dont ', '', '', 'highly recommend']",0
42,"['browser support video fan ', 'air fan']",0
43,"['good ', 'works issue']",0
44,"['charge ', '', 'advanced charge place trick for']",0
45,"['love cant imagine living ', 'everyday finding awesome wearable']",0
46,"['', '', 'series ', 'lot responsive']",0
47,"['works happy ', '', '', 'phone']",0
48,['easy attach secure wrist comfortable easy attach easily'],0
49,"['gen nice accurate ', 'good nicely built ', 'worth price']",0
50,"['bad works perfectly fine ', '', 'save money setup love']",0
51,"['bought gift ', 'birthday ', 'price range battery life wife']",0
52,"['love ', '', 'pay oxygen level']",0
53,"['love track ', 'walk face liking easy']",0
54,"['quick easy order process ', 'sell price easy and']",0
55,"['excellent gift love paired phone ', '', 'read news track exercise routine diet']",0
56,"['', 'easy metal easier and']",0
57,"['cool device size perfect size ', 'small']",0
58,"['love pink ', 'dirty']",0
59,"['amazing love ', '', 'buy']",0
60,"['love ', 'buy buy ', 'price ', '', 'doubt difference']",0
61,"['', 'wife ', 'comfortable ', 'size charge']",0
62,"['great ', 'bought ', 'wife ', 'works great ', 'suppose battery life good']",0
63,"['', 'love product pretty ', 'barely now']",0
64,"['ordered ', 'ready hour associate brought car love fitness']",0
65,"['', 'perfect ', 'cute buy for']",0
66,"['happy purchase ', 'generation']",0
67,"['excellent product type ', 'series easy clean soap ', 'water']",0
68,"['love easy light cooler ', 'summer bought ', 'open box']",0
69,"['live bought ', 'stays connected phone']",0
70,"['gift timely ', 'person ', 'received check life saver']",0
71,"['smart ', '', 'love fantastic huge beautiful and']",0
72,"['love inspire ', 'moving ', 'making great progress helping lose great price']",0
73,"['finally ', '', 'durable']",0
74,"['', 'dont phone people house ', 'convenient']",0
75,"['', '', 'happy league stylish comfortable ', 'versatile']",0
76,"['', 'love feel size bit smaller size ', 'save difference price']",0
77,"['love smart simple ', '', 'totally worth price']",1
78,['time perfect condition recommend watching tube comfortable setting'],0
79,"['easy ', 'pair phone fraction price purpose']",0
80,"['', '', 'col', 'photo great silver defiantly buy']",0
81,"['', 'son daily and']",0
82,"['', 'extra charger works perfectly recommend extra ', 'save money']",0
83,"['series excellent condition ', 'update ', 'update night speaker amazing']",0
84,"['love ', 'money ', 'cool excellent fitness tracker gym']",0
85,"['amazing ', '', '', 'good device upgrade series']",0
86,['series love difference functionality though'],0
87,"['love ', 'love service received buy ', '', 'for']",0
88,['prestigious recommend strenuous adventurer and'],0
89,"['nice graphics great clear ', 'sharp picture']",0
90,"['love fast delivery ', 'love ', 'fitness ', 'handy ', 'reading ', 'working']",0
91,"['black ', 'wife birthday ', 'rose gold belt good rose gold belt']",0
92,"['rubber ', 'doesnt wrist break ', 'nice ', 'tight']",0
93,"['', 'easy ', 'comfortable wear prefer plastic ', 'standard']",0
94,"['perfect st', '', 'mode magnet links charger ease note additional charger']",0
95,"['buy series ', '', 'glad']",0
96,"['', '', 'model point friendly ', 'great buy']",0
97,"['', '', 'exercise time weather ', 'talking phone']",0
98,"['', '', 'wear']",0
99,['morning morning loving wrist great'],0
100,['series cellular space gray aluminum sport space gray aluminum excellent'],0
101,"['', 'perfectly plan trade highly recommend']",0
102,"['love series enjoy ', 'talk speaker microphone send text']",0
103,"['', 'galaxy active even']",0
104,"['long time ', 'finally unending absolutely love']",0
105,"['tech experience ', 'active ', 'conveniency series']",0
106,"['teenage daughter ', 'version ', '', 'great']",0
107,"['bought ', 'wife early gift ', '', 'price']",0
108,"['buy awesome strong ', 'attractive lots']",0
109,"['everyday exception ', '', 'works ', 'super intuitive']",1
110,"['cant long cant leave house ', 'work life easy ', 'work']",0
111,"['love ', 'simplicity amazing simple ', 'understand']",1
112,"['favorite staff friendly ', 'helpful when']",0
113,"['series ', 'crack glad making affordable ', 'good option']",0
114,"['', 'heart ', 'blue color']",0
115,"['return item ', 'wife ', 'birthday ', 'sort time']",0
116,"['magnetic charging cable ', 'works perfectly plug port vehicle and']",0
117,"['pretty easy ', 'perfectly shipped ', 'happy purchase']",0
118,"['absolutely love gold stunning blue strap ', 'bought gold magnetic mesh for']",0
119,['bought adapt charging cable connect traditional cable wall charger works perfectly'],0
120,"['love heart issue ', 'love ', 'check ', 'heart rate wonderful']",0
121,['stopped working item hold charge replacement accomplished'],0
122,"['buy lot ', 'useless safe ', 'buy good']",0
123,"['pin attach broken ', 'strap fat fit slot ', 'insert']",0
124,"['return wrong size ', '', 'love shop buy store']",0
125,"['', 'great ', 'affordable alternative style simple ', 'sleek ', 'good ', 'price']",1
126,"['good experience ', 'than']",0
127,"['body ', 'removed star ', 'dirty quick ', 'resolved quick wash']",0
128,"['great alternative br', 'insignia phone ', 'works charger good price']",0
129,"['works ', 'phone easy connect ', 'music ', 'sleep time close']",0
130,"['series cant spot ', 'nice ', 'youve highly recommend']",0
131,"['replace ', 'broke good price paying ', '', 'dont']",0
132,"['great video ', 'easy setup great peace mind ', 'sending motion photo phone and']",0
133,"['great love ', 'turn water mode ', 'wear ', 'swimming longer battery life ', 'comparable']",0
134,"['bought product charge ', 'didnt box works designed ', 'price decent']",0
135,"['love health track fitness ', 'happier purchase']",0
136,"['charge ', 'sense love dont ', 'sense tho']",0
137,"['', 'wife wanting blue replacement ', '', '', '', '', 'great shape good buy']",0
138,"['love connect phone ', '', 'receive ', 'pickup phone']",0
139,"['skeptical series ', 'glad lot great specs love']",0
140,"['love worth extra money bought ', 'expensive ', 'love']",0
141,"['', 'absolutely fitness compatible easy cheap for']",0
142,"['sixth ', 'continuously rotate sons finish beautiful']",0
143,['works good phone life lot easier pick phone morning text'],0
144,"['husb', 'doesnt wear wrist ', 'inspire purchase fit ', 'happy']",0
145,"['protect great ', 'piece mind worry ', 'great']",0
146,"['expect comfortable ', 'easy set battery life great']",0
147,"['tool wife heart rate ', 'sleep great tool ', 'communication']",0
148,"['smart ', '', 'stays ', 'future smart']",0
149,['works fully easy set display nice bedroom bright night'],0
150,"['great fit downfall ', 'heat ', 'day']",0
151,"['gorgeous formal ', 'casual comfortable wear product']",0
152,"['charge ', 'key sell for']",0
153,"['great works great ', 'track walking ', 'activity great purchase ', 'highly recommend ', 'activity']",0
154,"['love series worried ', 'spending money ', 'immeasurable']",0
155,"['husb', 'happy ', 'doesnt ', '', 'good alternative']",0
156,"['tough phone charger connection ', 'works great ', 'love ', 'throw charge']",0
157,"['', 'great face covered ', 'impede touch']",0
158,['switched brand'],0
159,"['charger ', '', 'traveling works great ', 'short cord tripping charging cord']",0
160,"['received ', 'love easy ', 'user recommend']",0
161,"['', 'wonderful idea ', '', 'good']",0
162,"['', 'daughter wasnt expensive ', 'pretty loving']",0
163,"['great smart ', 'shame fisher smart listen millennial']",0
164,"['original finally stopped working bought ', 'love ', 'than']",0
165,"['inspire easier ', 'wear ', 'bracelet style great ', 'counting ', 'keeping']",0
166,"['doesnt ', '', '', 'effective listening music pain']",0
167,"['series awesome ', '', '', 'amazing daily']",0
168,"['bought ', 'style satisfied battery doesnt']",0
169,"['love accidentally washer ', 'works ', 'soaked convenient check and']",0
170,"['series ', 'decided upgrade series great upgrade ', 'battery life opinion great']",0
171,"['bought ', 'daughter replace faster works great ', '', 'loving']",0
172,"['neat ', 'price battery life excellent text great product']",0
173,"['', 'family ', 'sleep analysis ', 'day']",0
174,"['', 'pay ', 'nice ease attractive']",0
175,"['great ', 'love display nice glance raise wrist battery day']",0
176,['works great box series bigger millimeter face user friendly'],0
177,"['', 'works awesome mac ', 'love unlock']",0
178,"['', 'fitness ', 'amazing that']",0
179,"['bought replace great ', '', 'heart rate ring doorbell']",0
180,"['', 'days single charge battery life ', '', 'main reason switched']",0
181,"['order ', '', 'love ', 'order bought ', 'great']",0
182,"['enjoy ', 'wear daily close great ', 'generation']",0
183,"['time wear ', 'professional atmosphere people ', 'price']",0
184,"['', 'wrist breaking rash wearing original comfortable ', 'reaction']",0
185,"['love replace ', 'faster battery life tho workout counting accurate']",0
186,"['time ', 'glad love easy set ', '', 'everyday']",0
187,"['original ', 'falling wonderful replacement reasonable price']",0
188,"['dont lived life great ', 'healthy dont regret buy']",0
189,"['love ', 'long standing ', 'waterproof swim problem']",0
190,"['cant leave house phone ', 'cycle service buy excellent']",0
191,"['love ', 'times ', 'cellular version ', '', 'ozone']",0
192,"['didnt charge happy wear lot ', 'doesnt long charge']",0
193,"['saved ', 'forgot ', 'catching softball game']",0
194,"['love convenient ', 'pull phone purse straight phone']",0
195,"['love day ', 'dont wear handy ', '', 'text change music and']",0
196,"['series ', 'great choice fast series ', '', 'bigger display game changer']",0
197,"['cannot nice ', 'price ', 'extra bar nicely highly recommend']",0
198,"['perfectly super sleek ', 'col', 'comfortable wear day']",0
199,"['', 'birthday absolutely works great battery life ', 'deal breaker']",0
200,['love super practical device mind built wearing android operating'],0
201,"['', '', 'and']",0
202,"['sooner ', 'works seamlessly great product']",0
203,"['wrong voice phone camera remote fitness tracker nice ', 'device']",0
204,"['love play music ', 'lots gear fit']",0
205,"['picked ', 'daughter ', 'birthday worn ', '', 'track sleep']",0
206,"['great wireless charging pad ', 'multiple wont work ', 'didnt for']",0
207,['love product problem charge series long time'],0
208,"['love love love great series series love h', 'wash ', 'heart oxygen']",0
209,"['love operation ', 'fit replace older ', 'face']",0
210,"['', 'finally convenience life worth price']",0
211,"['functional charger nice design bought ', '', 'priced recommend']",0
212,"['great buy ', 'convenient bought fitness track ', 'ton cool']",0
213,"['spare charger ', 'works great ', 'faster ', 'originally regularly']",0
214,"['instinct ', 'learn ', 'easy start great']",0
215,"['wife ', '', '', 'display']",0
216,"['', 'wife ', 'nice soft touch material ', 'breathe']",0
217,"['great price charge ', 'great ', 'fitness ', 'plenty teacher']",0
218,['series charging cable charger daily built good'],0
219,"['love easier ', 'easier keeping track heart rate ', 'spinning']",0
220,"['inspire ordered stopped working ', 'couple received ', 'longer works']",0
221,"['lots air ', 'felt cheap worth spent removed after']",0
222,['series charge device'],0
223,"['horrible charge ', 'doesnt work phone ', 'worth price highly disappointed']",0
224,"['year ', 'charge quit working ', 'success work ', '', 'reset']",0
225,"['buy account ', '', '', 'days business']",0
226,"['disappointed edge peeled ', '', 'dirt stick']",0
227,"['son ', 'arm itch recommend']",0
228,"['works gen smart current cable ', 'kick bucket']",0
229,"['series economically cheap ', 'latest series']",0
230,"['great fit ', 'spot ', 'catching ', '', 'item great']",0
231,"['', 'great great stiff ', 'happy']",0
232,"['love husb', 'col', 'ways product amazing price tag steep ', '', 'pay for']",0
233,"['happy good love cellular ', '', 'walking nice music carrying phone']",0
234,"['love lot ', 'fit bit ', 'worth price totally enjoy']",0
235,"['catalyst ', 'great product protect']",0
236,"['', 'standard solid ', '', 'comfortable because']",0
237,"['lost original charge small ', 'great wear everyday']",0
238,"['specially ', 'work physically pull phone text']",0
239,"['love ', 'stay fit moment breathe ', 'heart health dope']",0
240,"['series silver aluminum white sport silver aluminum bought ', 'daughter love']",0
241,"['item bathroom love ', '', 'plug ', 'charging phone and']",0
242,"['love perfect love great price good fit ', 'tech ', 'user friendly']",0
243,"['', 'whatnot ', 'time ', 'halo contender']",0
244,"['', '', 'love glad switched ', 'decided upgrade']",0
245,"['sharp simple clean design easy perfectly ', 'wrist col', 'gorgeous']",1
246,"['gift fir wife ', '', '', '', 'happen light ', 'sleek']",0
247,"['buy love series busy workout reminder ', 'love happy that']",0
248,"['excellent android though wont beat android phone ', 'price option']",0
249,"['love gift ', 'recipient hard ', 'great entry']",0
250,"['love cant wrong ', '', '', 'smart']",0
251,"['convenient ', 'driving easy answer ', 'heart rate ', 'daily']",0
252,"['', 'love perfect ', '', 'happy']",0
253,"['', 'partial day ', 'work animal hospital ', 'when']",0
254,"['happy bigger ', 'battery life great and']",0
255,"['charge ', '', '', '', '', 'love ', 'style']",0
256,"['love light cooler ', 'summer ', 'open box']",0
257,"['series edition flawless music ', 'carrying phone']",0
258,"['series great luxury work life easier idea ', 'learning day']",0
259,"['cake highly ', 'choosing ', 'fit bit love sleekness ', 'phone']",0
260,"['stay connected expensive luxury ', '', 'time fav', 'buy']",0
261,"['', '', 'ring nice ', '', 'feel ', 'informed']",0
262,"['glad buy bigger sale ', 'time works great recommend']",0
263,"['love initially ', 'fit bit saved']",0
264,"['', '', '', 'long pretty good']",0
265,"['love wear ', 'everyday ', 'quick lot great ', 'specs']",0
266,"['ionic ', 'stopped charging ', 'warranty ', 'liking']",0
267,"['great ', 'longer offering ', 'strange']",0
268,"['love easier ', 'previous charge clock enjoying']",0
269,"['paired easily works great cute bumper ', 'protect investment']",0
270,"['', 'buy adapter ', 'easy buy ', 'wasnt included']",0
271,"['great latest technology ease ', 'data fabulous highly recommend']",0
272,"['bigger good battery ', 'but']",0
273,"['amazing ', 'change display time ', 'heartbeat']",0
274,"['', 'good price ', 'purchase but']",0
275,"['husb', 'expensive ', 'job ', 'perfect for']",0
276,"['wanting ', 'a', '', 'love purchase sleek ', 'easy']",0
277,"['love ', 'high ', 'col', 'fade good nut ', 'price']",0
278,"['love product ', '', 'cant imagine ', 'when']",0
279,['works compliment charger series power adapter'],0
280,"['bought record ', '', 'great job love']",0
281,"['super amazing wanting track ', 'long spending affordable ', 'reliable great purchase']",0
282,"['bought ', 'mother ', 'fancy ', 'track great product']",0
283,"['comfortable ', 'ventilation great ', 'exercise highly recommend for']",0
284,"['bought ', 'sons birthday didnt bought buy']",0
285,"['bought fit ear ', 'wear hearing works great work sound fantastic']",0
286,"['love perfect ', '', '', '', 'running calorie counting ', 'phone']",0
287,"['bought series silver aluminum white sport silver aluminum product ', 'performance awesome']",0
288,"['', 'job ', 'fancy']",0
289,"['', 'felt upgrade hearing alert ', 'great']",0
290,"['daughter ', 'family ', 'service cant wrong']",0
291,"['', 'long time gift love negative charge nightly']",0
292,"['protect ', 'expensive works good ', 'face ', 'place']",0
293,"['good basic series extra functionality series great price point ', 'sale that']",0
294,['original difference loving fast charge death fully'],0
295,"['series ', '', '', 'bought ', 'year dad ', 'birthday loving']",0
296,"['love push ', 'helpful dont phone sitting desk']",0
297,"['face ', '', 'continually replace even']",0
298,"['', '', '', 'when']",0
299,"['love battery life great ', 'days charging sleep and']",0
300,['charge good additional happy purchase'],0
301,"['', '', '', 'hesitant wouldnt bulk small great ', 'love']",0
302,"['good ', 'good price ', 'decent scratches ', 'set for']",0
303,"['series stainless steel nice ', 'stainless steel']",0
304,"['h', '', 'series continue purchase love ', 'busy and']",0
305,"['', 'loving drive lot ', 'navigation notified turns ', 'location dont']",0
306,"['awesome staff informative purchase love easy maneuver ', 'understand']",0
307,"['loving didnt ', 'expensive ', '', 'pay ', 'and']",0
308,"['easy install strap hold wear play basketball ', 'undone easy remove ', 'wash']",0
309,"['wife everyday ', 'exercise ', 'and']",0
310,"['great charger connected anker travel st', 'change phone pro ', 'simultaneously']",0
311,"['decided buy ', 'health scare heart rate monit', '', 'built monit', 'health']",0
312,"['adapter ', 'charger connect cable older power charger block item job']",0
313,"['family love sleek ', 'functionality ', 'spouse ', 'birthday']",0
314,"['love ', 'sport black sports enjoy screening cell phone neat ', 'face']",0
315,"['wanting ', 'time ', 'finally bit bullet amazing completely satisfied purchase']",0
316,"['received ', 'original beware electronics for']",0
317,"['sport duo ', 'dont bother worth money great ', 'couple falling']",0
318,"['product worthless glass stay ', 'rubber bumper issue ', 'worse']",0
319,"['ironman ', 'worked completely die box']",0
320,"['returned ', 'bought happier subscribe monthly didnt ', 'idea']",0
321,['waste money returned couple days reach told'],0
322,['batter doesnt days'],0
323,"['good product ', 'trouble product ', 'time couple small that']",0
324,"['learning havent ', 'gen love oxygen ', 'heart rate battery life']",0
325,"['silicone ', 'broke ', 'year ', 'multiple adjustment']",0
326,"['works ', '', 'buck ', '', 'wore and']",0
327,"['good month buy associate install series ', 'worked']",0
328,"['love charge happy program insurance love ', 'built']",0
329,"['working fine whatsoever easy ', 'rarely actual restart viper button']",0
330,"['', 'fraction money missing written ', 'figure']",0
331,"['goodness naked ', 'cant live device wrist']",0
332,"['sharp simple clean design charge perfectly ', 'wrist stylish ', 'love color']",1
333,"['bought ', 'birthday ', 'everyday fitness fitness']",0
334,"['love series ', 'user friendly ', '', 'fall bang']",0
335,"['smart ', 'android ', 'compare display']",0
336,"['device perfectly wahoo fitness phone ', 'construction update review after']",0
337,"['small wrist ', 'perfectly love carbon fiber pretty nice ', 'bulky']",0
338,"['sport breathable ', 'standard sport wrist doesnt feel sweaty']",0
339,"['smart love ', 'active activity program']",0
340,"['works great ', 'charger ', 'stable night st', 'charge fast']",0
341,"['amazing ', 'perfectly ', 'ventilation']",0
