Tweets,COVID
0,0.01
1,0
2,0.01
0,0
2,0.03
0,0
1,0
2,0
1,0
4,0.02
5,0.01
5,0
3,0.03
1,0
1,0
4,0
1,0
2,0
6,0
1,0
2,0.01
3,0
1,0.01
0,0
3,0
0,0
1,0
1,0
4,0
0,0
1,0.02
3,0
2,0
2,0
7,0
3,0
1,0.01
2,0
7,0.08
4,0.06
7,0.23
7,0.24
4,0.2
3,0.65
6,0.46
0,0.63
2,1.37
4,2.15
5,2.76
5,2.6
2,3.69
7,2.7
5,2.89
10,10.91
4,6.66
5,12.46
4,17.11
11,31.39
13,35.18
2,47.32
5,59.86
6,67.27
4,75.78
3,94.79
2,137.61
5,144.5
11,152.04
5,153.04
2,178.21
4,189.07
9,200.15
5,248.18
23,283.47
25,258.92
17,215.39
16,397.63
12,133.1
17,261.02
11,294.14
15,244.77
14,275.51
8,240.39
6,204.63
21,229.82
27,209.86
21,274.48
13,242.65
11,238.02
11,240.08
13,242.47
11,227.58
34,257.48
14,290.8
17,297.05
17,285.52
23,265.28
23,204.02
106,221.74
59,232.08
57,291.16
38,277.05
56,270.93
82,258.41
65,189.49
93,208.8
86,216.12
73,291.86
83,242.48
69,237.59
42,187.01
78,172.7
96,213.28
66,198.54
90,258.51
125,211.23
86,244.04
103,179.78
150,236.05
95,170.64
125,222.15
175,250.09
125,229.35
167,198.37
120,198.56
178,188.51
194,155.22
160,186.4
149,203.47
135,226.56
64,224.48
65,203.7
68,193.61
40,191.3
49,192.08
49,194.53
72,283.33
65,231.6
62,173.32
56,171.58
78,167.25
75,198.7
67,212.53
50,267.6
67,247.85
54,214.13
77,180.39
86,228.63
151,224.09
270,273.26
237,315.82
211,317.59
111,272.94
119,261.64
197,338.61
266,372.43
319,401.26
464,441.31
343,442.02
290,407.54
369,355.05
387,431.88
318,538.92
473,521.89
387,572.11
232,517.89
178,434.45
262,458.66
348,500.32
433,641.8
390,586.41
426,656.67
354,622.33
323,597.91
377,584.1
378,603.37
466,667.25
575,711.31
481,740.15
338,666.18
371,624.02
389,572.21
355,622.38
331,692.3
263,715.68
285,736.71
214,638.27
187,612.37
200,535.79
202,592.89
287,650.98
232,675.46
150,671.8
150,581.33
141,469.46
246,488.69
171,492.6
193,531
179,546.43
145,610.19
146,535.42
214,477.9
147,394.9
162,544.12
142,555.58
331,518.49
202,559.02
172,537.41
158,409.43
138,376.2
149,388.04
142,459.92
160,437.74
176,457.5
158,446.38
139,375.43
195,326.84
151,368.99
109,453.12
177,458.97
127,437.54
130,428.05
197,377.17
249,315.81
263,424.53
347,391.36
243,443.44
189,488.53
216,453.23
149,331.64
189,257.89
205,230.72
190,315.54
175,369.87
149,447.5
170,400.91
164,347.38
235,339.19
270,339.24
325,406.44
294,427.89
172,469
90,414.62
116,363.93
177,388.28
181,490.5
183,397.66
234,409.16
221,451.26
156,485.58
101,348.13
155,322.86
143,379.11
109,442.54
158,456.54
266,487.3
235,484.38
162,356.46
284,383.9
313,381.47
229,519.53
135,534.72
165,570.27
147,524.15
147,449.66
191,458.19
187,457.19
126,583.42
175,624.19
122,691.11
118,524.29
180,450.63
175,586.16
157,592.71
134,627.11
151,717.99
209,804.67
201,817.76
135,618.46
134,623.71
136,712.67